Fell/found?,Meteor mass classes,Place,Type of meteorite,Year,Coordinate 1,Coordinates 2,"Sum of Mass, g"
Found,0-9kg,QUE 99299,LL5,1999,-84,168,1.76
Found,0-9kg,QUE 99298,LL5,1999,-84,168,1.96
Found,0-9kg,QUE 99297,LL5,1999,-84,168,1.96
Found,0-9kg,QUE 99296,LL5,1999,-84,168,2.7
Found,0-9kg,QUE 99295,LL5,1999,-84,168,0.34
Found,0-9kg,QUE 99294,L5,1999,-84,168,1.76
Found,0-9kg,QUE 99293,LL5,1999,-84,168,1.76
Found,0-9kg,QUE 99292,LL5,1999,-84,168,3.8
Found,0-9kg,QUE 99291,LL5,1999,-84,168,5.2
Found,0-9kg,QUE 99290,LL5,1999,-84,168,2.9
Found,0-9kg,QUE 99288,LL5,1999,-84,168,3
Found,0-9kg,QUE 99287,LL5,1999,-84,168,9.3
Found,0-9kg,QUE 99286,LL5,1999,-84,168,1.86
Found,0-9kg,QUE 99285,LL5,1999,-84,168,11.5
Found,0-9kg,QUE 99284,LL5,1999,-84,168,2.8
Found,0-9kg,QUE 99283,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99282,LL5,1999,-84,168,18.5
Found,0-9kg,QUE 99281,LL5,1999,-84,168,1.48
Found,0-9kg,QUE 99280,LL5,1999,-84,168,7.1
Found,0-9kg,QUE 99279,LL5,1999,-84,168,7.1
Found,0-9kg,QUE 99278,LL5,1999,-84,168,7.9
Found,0-9kg,QUE 99277,LL5,1999,-84,168,1.85
Found,0-9kg,QUE 99276,LL5,1999,-84,168,6.4
Found,0-9kg,QUE 99275,LL5,1999,-84,168,9.8
Found,0-9kg,QUE 99274,LL5,1999,-84,168,1.69
Found,0-9kg,QUE 99273,LL5,1999,-84,168,5.6
Found,0-9kg,QUE 99272,LL5,1999,-84,168,2.7
Found,0-9kg,QUE 99271,LL5,1999,-84,168,1.79
Found,0-9kg,QUE 99270,LL5,1999,-84,168,1.52
Found,0-9kg,QUE 99269,LL5,1999,-84,168,1.64
Found,0-9kg,QUE 99268,LL5,1999,-84,168,1.44
Found,0-9kg,QUE 99267,LL5,1999,-84,168,4.6
Found,0-9kg,QUE 99266,LL5,1999,-84,168,0.74
Found,0-9kg,QUE 99265,LL5,1999,-84,168,7
Found,0-9kg,QUE 99264,L5,1999,-84,168,10.9
Found,0-9kg,QUE 99263,LL5,1999,-84,168,3.8
Found,0-9kg,QUE 99262,LL5,1999,-84,168,4.1
Found,0-9kg,QUE 99261,LL5,1999,-84,168,2.8
Found,0-9kg,QUE 99260,LL5,1999,-84,168,4.6
Found,0-9kg,QUE 99259,LL6,1999,-84,168,1.19
Found,0-9kg,QUE 99258,LL5,1999,-84,168,1.56
Found,0-9kg,QUE 99257,LL5,1999,-84,168,4.1
Found,0-9kg,QUE 99256,LL5,1999,-84,168,1.04
Found,0-9kg,QUE 99255,LL5,1999,-84,168,0.33
Found,0-9kg,QUE 99254,H5,1999,-84,168,0.28
Found,0-9kg,QUE 99253,LL5,1999,-84,168,0.35
Found,0-9kg,QUE 99252,LL5,1999,-84,168,17.5
Found,0-9kg,QUE 99251,LL5,1999,-84,168,17.5
Found,0-9kg,QUE 99250,LL5,1999,-84,168,6.2
Found,0-9kg,QUE 99249,LL5,1999,-84,168,1.77
Found,0-9kg,QUE 99248,LL5,1999,-84,168,14.4
Found,0-9kg,QUE 99247,H6,1999,-84,168,42
Found,0-9kg,QUE 99246,H6,1999,-84,168,36
Found,0-9kg,QUE 99245,LL5,1999,-84,168,32.6
Found,0-9kg,QUE 99244,LL5,1999,-84,168,21.2
Found,0-9kg,QUE 99243,LL5,1999,-84,168,6.8
Found,0-9kg,QUE 99242,LL5,1999,-84,168,1.54
Found,0-9kg,QUE 99241,LL5,1999,-84,168,3.2
Found,0-9kg,QUE 99240,LL5,1999,-84,168,13
Found,0-9kg,QUE 99239,L5,1999,-84,168,18.4
Found,0-9kg,QUE 99238,LL5,1999,-84,168,2.4
Found,0-9kg,QUE 99237,LL6,1999,-84,168,2.3
Found,0-9kg,QUE 99236,H5,1999,-84,168,6.1
Found,0-9kg,QUE 99235,H5,1999,-84,168,6.1
Found,0-9kg,QUE 99234,LL5,1999,-84,168,2.4
Found,0-9kg,QUE 99233,LL5,1999,-84,168,1.5
Found,0-9kg,QUE 99232,LL5,1999,-84,168,1.5
Found,0-9kg,QUE 99231,Diogenite,1999,-84,168,1.5
Found,0-9kg,QUE 99230,H6,1999,-84,168,8.1
Found,0-9kg,QUE 99229,LL5,1999,-84,168,0.48
Found,0-9kg,QUE 99228,LL5,1999,-84,168,0.48
Found,0-9kg,QUE 99227,LL5,1999,-84,168,0.62
Found,0-9kg,QUE 99226,LL5,1999,-84,168,0.34
Found,0-9kg,QUE 99225,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99224,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99223,LL5,1999,-84,168,9.6
Found,0-9kg,QUE 99222,LL5,1999,-84,168,9.6
Found,0-9kg,QUE 99221,LL5,1999,-84,168,8.9
Found,0-9kg,QUE 99220,LL5,1999,-84,168,16.1
Found,0-9kg,QUE 99219,LL5,1999,-84,168,0.26
Found,0-9kg,QUE 99218,LL5,1999,-84,168,3.4
Found,0-9kg,QUE 99217,LL5,1999,-84,168,3.4
Found,0-9kg,QUE 99216,LL5,1999,-84,168,1.93
Found,0-9kg,QUE 99215,LL5,1999,-84,168,1.18
Found,0-9kg,QUE 99214,LL5,1999,-84,168,1.18
Found,0-9kg,QUE 99213,LL5,1999,-84,168,1.16
Found,0-9kg,QUE 99212,LL5,1999,-84,168,8.7
Found,0-9kg,QUE 99211,LL5,1999,-84,168,8.6
Found,0-9kg,QUE 99210,LL5,1999,-84,168,8.6
Found,0-9kg,QUE 99209,LL5,1999,-84,168,1.22
Found,0-9kg,QUE 99208,LL5,1999,-84,168,3.8
Found,0-9kg,QUE 99207,LL5,1999,-84,168,1.69
Found,0-9kg,QUE 99206,LL5,1999,-84,168,1.69
Found,0-9kg,QUE 99205,LL5,1999,-84,168,1.15
Found,0-9kg,QUE 99204,LL5,1999,-84,168,26.7
Found,0-9kg,QUE 99203,H5,1999,-84,168,2
Found,0-9kg,QUE 99202,L5,1999,-84,168,1.89
Found,0-9kg,QUE 99201,LL5,1999,-84,168,1.1
Found,0-9kg,QUE 99200,LL5,1999,-84,168,1.1
Found,0-9kg,QUE 99199,LL5,1999,-84,168,30.2
Found,0-9kg,QUE 99198,H5,1999,-84,168,36.9
Found,0-9kg,QUE 99197,H6,1999,-84,168,24.8
Found,0-9kg,QUE 99196,LL5,1999,-84,168,77.6
Found,0-9kg,QUE 99195,H6,1999,-84,168,234.7
Found,0-9kg,QUE 99194,L5,1999,-84,168,205.8
Found,0-9kg,QUE 99193,H5,1999,-84,168,181.6
Found,0-9kg,QUE 99192,H5,1999,-84,168,139.3
Found,0-9kg,QUE 99191,L6,1999,-84,168,100
Found,0-9kg,QUE 99190,L5,1999,-84,168,123.3
Found,0-9kg,QUE 99189,LL5,1999,-84,168,1.68
Found,0-9kg,QUE 99188,LL5,1999,-84,168,1.97
Found,0-9kg,QUE 99187,LL6,1999,-84,168,1.97
Found,0-9kg,QUE 99186,L5,1999,-84,168,3.7
Found,0-9kg,QUE 99185,LL5,1999,-84,168,0.52
Found,0-9kg,QUE 99184,LL5,1999,-84,168,5.1
Found,0-9kg,QUE 99183,LL5,1999,-84,168,10.2
Found,0-9kg,QUE 99182,LL5,1999,-84,168,10.7
Found,0-9kg,QUE 99181,LL5,1999,-84,168,1.69
Found,0-9kg,QUE 99180,LL5,1999,-84,168,6
Found,0-9kg,QUE 99179,L5,1999,-84,168,41
Found,0-9kg,QUE 99178,LL5,1999,-84,168,19.4
Found,0-9kg,QUE 99177,CR2,1999,-84,168,43.6
Found,0-9kg,QUE 99176,LL5,1999,-84,168,27.4
Found,0-9kg,QUE 99175,L5,1999,-84,168,63.3
Found,0-9kg,QUE 99174,L5,1999,-84,168,39.3
Found,0-9kg,QUE 99172,LL5,1999,-84,168,24.7
Found,0-9kg,QUE 99171,LL5,1999,-84,168,19.3
Found,0-9kg,QUE 99170,LL5,1999,-84,168,23.6
Found,0-9kg,QUE 99169,LL5,1999,-84,168,2.5
Found,0-9kg,QUE 99168,LL5,1999,-84,168,6.1
Found,0-9kg,QUE 99167,LL5,1999,-84,168,1.94
Found,0-9kg,QUE 99166,LL5,1999,-84,168,20
Found,0-9kg,QUE 99165,LL5,1999,-84,168,25.9
Found,0-9kg,QUE 99164,LL5,1999,-84,168,4.4
Found,0-9kg,QUE 99163,LL5,1999,-84,168,4.4
Found,0-9kg,QUE 99162,H5,1999,-84,168,3.8
Found,0-9kg,QUE 99161,L5,1999,-84,168,3.8
Found,0-9kg,QUE 99160,LL5,1999,-84,168,16.4
Found,0-9kg,QUE 99159,L5,1999,-84,168,2.4
Found,0-9kg,QUE 99158,E-an,1999,-84,168,31
Found,0-9kg,QUE 99157,E-an,1999,-84,168,10.7
Found,0-9kg,QUE 99156,LL5,1999,-84,168,3
Found,0-9kg,QUE 99155,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99154,LL5,1999,-84,168,3.4
Found,0-9kg,QUE 99153,LL5,1999,-84,168,6
Found,0-9kg,QUE 99152,LL5,1999,-84,168,15.7
Found,0-9kg,QUE 99151,LL5,1999,-84,168,2.8
Found,0-9kg,QUE 99150,LL5,1999,-84,168,0.44
Found,0-9kg,QUE 99149,LL5,1999,-84,168,1.3
Found,0-9kg,QUE 99148,H6,1999,-84,168,21.8
Found,0-9kg,QUE 99147,LL5,1999,-84,168,5.5
Found,0-9kg,QUE 99146,LL5,1999,-84,168,7.5
Found,0-9kg,QUE 99145,L5,1999,-84,168,2
Found,0-9kg,QUE 99144,LL5,1999,-84,168,20
Found,0-9kg,QUE 99143,LL5,1999,-84,168,1.57
Found,0-9kg,QUE 99142,LL5,1999,-84,168,3.1
Found,0-9kg,QUE 99141,LL5,1999,-84,168,3.1
Found,0-9kg,QUE 99140,LL5,1999,-84,168,4.2
Found,0-9kg,QUE 99139,LL5,1999,-84,168,4.2
Found,0-9kg,QUE 99138,LL5,1999,-84,168,5.9
Found,0-9kg,QUE 99137,LL5,1999,-84,168,5.9
Found,0-9kg,QUE 99136,LL5,1999,-84,168,3.5
Found,0-9kg,QUE 99135,LL5,1999,-84,168,2.7
Found,0-9kg,QUE 99134,L-metal,1999,-84,168,0.387
Found,0-9kg,QUE 99133,LL5,1999,-84,168,5
Found,0-9kg,QUE 99132,LL5,1999,-84,168,1.45
Found,0-9kg,QUE 99131,LL5,1999,-84,168,4.7
Found,0-9kg,QUE 99130,LL5,1999,-84,168,13.9
Found,0-9kg,QUE 99129,LL5,1999,-84,168,20.5
Found,0-9kg,QUE 99128,L5,1999,-84,168,20.5
Found,0-9kg,QUE 99127,LL5,1999,-84,168,8.4
Found,0-9kg,QUE 99126,LL5,1999,-84,168,14.7
Found,0-9kg,QUE 99125,L5,1999,-84,168,54.6
Found,0-9kg,QUE 99124,L4,1999,-84,168,23
Found,0-9kg,QUE 99123,LL5,1999,-84,168,5.4
Found,0-9kg,QUE 99122,E-an,1999,-84,168,19.9
Found,0-9kg,QUE 99121,L5,1999,-84,168,22.6
Found,0-9kg,QUE 99120,LL5,1999,-84,168,7.8
Found,0-9kg,QUE 99119,H5,1999,-84,168,56.9
Found,0-9kg,QUE 99118,L5,1999,-84,168,93.9
Found,0-9kg,QUE 99117,LL5,1999,-84,168,21.3
Found,0-9kg,QUE 99116,LL5,1999,-84,168,30.8
Found,0-9kg,QUE 99115,LL5,1999,-84,168,1.25
Found,0-9kg,QUE 99114,LL5,1999,-84,168,29.9
Found,0-9kg,QUE 99113,CM2,1999,-84,168,23.2
Found,0-9kg,QUE 99112,LL5,1999,-84,168,23.2
Found,0-9kg,QUE 99111,LL5,1999,-84,168,1.85
Found,0-9kg,QUE 99110,LL5,1999,-84,168,7.5
Found,0-9kg,QUE 99109,LL5,1999,-84,168,1.9
Found,0-9kg,QUE 99108,LL5,1999,-84,168,0.9
Found,0-9kg,QUE 99107,LL5,1999,-84,168,10.2
Found,0-9kg,QUE 99106,L5,1999,-84,168,10.2
Found,0-9kg,QUE 99105,LL5,1999,-84,168,1.4
Found,0-9kg,QUE 99104,LL5,1999,-84,168,1.7
Found,0-9kg,QUE 99103,LL5,1999,-84,168,9.3
Found,0-9kg,QUE 99102,LL5,1999,-84,168,4.5
Found,0-9kg,QUE 99101,LL5,1999,-84,168,13.8
Found,0-9kg,QUE 99100,H6,1999,-84,168,1.2
Found,0-9kg,QUE 99099,H5,1999,-84,168,173.6
Found,0-9kg,QUE 99098,H4,1999,-84,168,755.5
Found,0-9kg,QUE 99097,LL6,1999,-84,168,463
Found,0-9kg,QUE 99096,H6,1999,-84,168,1029.2
Found,0-9kg,QUE 99095,L5,1999,-84,168,525.9
Found,0-9kg,QUE 99094,H5,1999,-84,168,329.3
Found,0-9kg,QUE 99093,LL5,1999,-84,168,336.1
Found,0-9kg,QUE 99092,L5,1999,-84,168,230
Found,0-9kg,QUE 99091,LL5,1999,-84,168,356.8
Found,0-9kg,QUE 99090,L5,1999,-84,168,235.9
Found,0-9kg,QUE 99089,L4,1999,-84,168,584.6
Found,0-9kg,QUE 99088,L5,1999,-84,168,134.1
Found,0-9kg,QUE 99087,H6,1999,-84,168,93.4
Found,0-9kg,QUE 99086,H6,1999,-84,168,200.4
Found,0-9kg,QUE 99085,H6,1999,-84,168,173.5
Found,0-9kg,QUE 99084,LL5,1999,-84,168,113.8
Found,0-9kg,QUE 99083,LL5,1999,-84,168,118.2
Found,0-9kg,QUE 99082,H6,1999,-84,168,110.3
Found,0-9kg,QUE 99081,LL5,1999,-84,168,198
Found,0-9kg,QUE 99080,H6,1999,-84,168,211.9
Found,0-9kg,QUE 99079,L5,1999,-84,168,11.3
Found,0-9kg,QUE 99078,LL5,1999,-84,168,1.5
Found,0-9kg,QUE 99077,L5,1999,-84,168,0.5
Found,0-9kg,QUE 99076,LL5,1999,-84,168,0.9
Found,0-9kg,QUE 99075,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99074,H6,1999,-84,168,2.2
Found,0-9kg,QUE 99073,LL5,1999,-84,168,0.7
Found,0-9kg,QUE 99072,LL5,1999,-84,168,1.4
Found,0-9kg,QUE 99071,L5,1999,-84,168,1.4
Found,0-9kg,QUE 99070,LL5,1999,-84,168,2.2
Found,0-9kg,QUE 99069,H6,1999,-84,168,2.2
Found,0-9kg,QUE 99068,LL5,1999,-84,168,5.6
Found,0-9kg,QUE 99067,LL5,1999,-84,168,3.6
Found,0-9kg,QUE 99066,LL5,1999,-84,168,21.4
Found,0-9kg,QUE 99065,LL5,1999,-84,168,20
Found,0-9kg,QUE 99064,L5,1999,-84,168,0.1
Found,0-9kg,QUE 99063,LL5,1999,-84,168,0.1
Found,0-9kg,QUE 99062,LL5,1999,-84,168,0.7
Found,0-9kg,QUE 99061,LL5,1999,-84,168,2.6
Found,0-9kg,QUE 99060,LL5,1999,-84,168,2.6
Found,0-9kg,QUE 99059,E-an,1999,-84,168,22.1
Found,0-9kg,QUE 99058,Howardite,1999,-84,168,48
Found,0-9kg,QUE 99057,L5,1999,-84,168,24.1
Found,0-9kg,QUE 99056,H6,1999,-84,168,23
Found,0-9kg,QUE 99055,H5,1999,-84,168,9.3
Found,0-9kg,QUE 99054,L5,1999,-84,168,6.3
Found,0-9kg,QUE 99053,L5,1999,-84,168,4
Found,0-9kg,QUE 99052,L5,1999,-84,168,1.3
Found,0-9kg,QUE 99051,L5,1999,-84,168,1.3
Found,0-9kg,QUE 99050,Diogenite,1999,-84,168,2.1
Found,0-9kg,QUE 99049,LL5,1999,-84,168,2.4
Found,0-9kg,QUE 99048,LL5,1999,-84,168,0.2
Found,0-9kg,QUE 99047,LL5,1999,-84,168,0.5
Found,0-9kg,QUE 99046,LL5,1999,-84,168,0.3
Found,0-9kg,QUE 99045,LL5,1999,-84,168,73.2
Found,0-9kg,QUE 99044,LL5,1999,-84,168,73.2
Found,0-9kg,QUE 99043,L6,1999,-84,168,44.8
Found,0-9kg,QUE 99042,LL5,1999,-84,168,46.9
Found,0-9kg,QUE 99041,LL5,1999,-84,168,46.9
Found,0-9kg,QUE 99040,H5,1999,-84,168,244.1
Found,0-9kg,QUE 99039,L5,1999,-84,168,244.1
Found,0-9kg,QUE 99038,CM2,1999,-84,168,52.7
Found,0-9kg,QUE 99037,L5,1999,-84,168,101.9
Found,0-9kg,QUE 99036,LL5,1999,-84,168,45.5
Found,0-9kg,QUE 99035,LL5,1999,-84,168,57.8
Found,0-9kg,QUE 99034,L6,1999,-84,168,198.3
Found,0-9kg,QUE 99033,Howardite,1999,-84,168,164.2
Found,0-9kg,QUE 99032,L5,1999,-84,168,214.1
Found,0-9kg,QUE 99031,H5,1999,-84,168,189.1
Found,0-9kg,QUE 99030,L4,1999,-84,168,797.8
Found,0-9kg,QUE 99029,L5,1999,-84,168,482.5
Found,0-9kg,QUE 99028,L6,1999,-84,168,302.4
Found,0-9kg,QUE 99027,H5,1999,-84,168,298
Found,0-9kg,QUE 99026,H5,1999,-84,168,361.4
Found,0-9kg,QUE 99025,LL5,1999,-84,168,747.2
Found,0-9kg,QUE 99024,H6,1999,-84,168,2074
Found,0-9kg,QUE 99023,H5,1999,-84,168,1933
Found,0-9kg,QUE 99022,L6,1999,-84,168,548.9
Found,0-9kg,QUE 99021,H5,1999,-84,168,402.9
Found,0-9kg,QUE 99020,H5,1999,-84,168,355.4
Found,0-9kg,QUE 99019,L5,1999,-84,168,350.5
Found,0-9kg,QUE 99018,H4,1999,-84,168,1000.2
Found,0-9kg,QUE 99017,H5,1999,-84,168,4999
Found,0-9kg,QUE 99016,LL5,1999,-84,168,2166
Found,0-9kg,QUE 99015,H5,1999,-84,168,1460.4
Found,0-9kg,QUE 99014,H5,1999,-84,168,569.5
Found,0-9kg,QUE 99013,H5,1999,-84,168,814.2
Found,0-9kg,QUE 99012,H4,1999,-84,168,2017
Found,0-9kg,QUE 99011,H4,1999,-84,168,1451.9
Found,0-9kg,QUE 99010,H5,1999,-84,168,1293.4
Found,0-9kg,QUE 99009,H5,1999,-84,168,1814.3
Found,0-9kg,QUE 99008,H5,1999,-84,168,2229
Found,0-9kg,QUE 99006,Eucrite-br,1999,-84,168,133.1
Found,0-9kg,QUE 99005,Eucrite-br,1999,-84,168,64
Found,0-9kg,QUE 99004,H5,1999,-84,168,2369
Found,0-9kg,QUE 99003,H5,1999,-84,168,3492
Found,0-9kg,QUE 99002,H6,1999,-84,168,2750
Found,0-9kg,QUE 97999,LL5,1997,-84,168,3
Found,0-9kg,QUE 97998,LL5,1997,-84,168,3
Found,0-9kg,QUE 97997,LL5,1997,-84,168,3.1
Found,0-9kg,QUE 97996,LL5,1997,-84,168,9.6
Found,0-9kg,QUE 97995,LL5,1997,-84,168,23.1
Found,0-9kg,QUE 97994,LL6,1997,-84,168,9.1
Found,0-9kg,QUE 97993,LL5,1997,-84,168,14.2
Found,0-9kg,QUE 97992,LL5,1997,-84,168,21.2
Found,0-9kg,QUE 97991,Diogenite,1997,-84,168,6.8
Found,0-9kg,QUE 97990,CM2,1997,-84,168,67.3
Found,0-9kg,QUE 97989,L5,1997,-84,168,1.8
Found,0-9kg,QUE 97988,LL6,1997,-84,168,9.6
Found,0-9kg,QUE 97987,LL5,1997,-84,168,34.7
Found,0-9kg,QUE 97986,LL5,1997,-84,168,31.3
Found,0-9kg,QUE 97985,LL5,1997,-84,168,16.2
Found,0-9kg,QUE 97984,H6,1997,-84,168,20.3
Found,0-9kg,QUE 97983,LL5,1997,-84,168,48.8
Found,0-9kg,QUE 97982,LL5,1997,-84,168,8.9
Found,0-9kg,QUE 97981,LL5,1997,-84,168,6
Found,0-9kg,QUE 97980,H6,1997,-84,168,89.7
Found,0-9kg,QUE 97979,LL5,1997,-84,168,20.5
Found,0-9kg,QUE 97978,LL5,1997,-84,168,8.4
Found,0-9kg,QUE 97977,L6,1997,-84,168,43.4
Found,0-9kg,QUE 97976,LL5,1997,-84,168,68.6
Found,0-9kg,QUE 97975,LL5,1997,-84,168,49.1
Found,0-9kg,QUE 97974,LL5,1997,-84,168,35.4
Found,0-9kg,QUE 97973,L5,1997,-84,168,39.3
Found,0-9kg,QUE 97972,LL5,1997,-84,168,8.2
Found,0-9kg,QUE 97971,LL5,1997,-84,168,81.3
Found,0-9kg,QUE 97970,H6,1997,-84,168,15.2
Found,0-9kg,QUE 97969,LL5,1997,-84,168,4.1
Found,0-9kg,QUE 97968,LL5,1997,-84,168,1.8
Found,0-9kg,QUE 97967,LL5,1997,-84,168,4.7
Found,0-9kg,QUE 97966,L5,1997,-84,168,4.7
Found,0-9kg,QUE 97965,H5,1997,-84,168,2.4
Found,0-9kg,QUE 97964,LL5,1997,-84,168,5.2
Found,0-9kg,QUE 97963,L5,1997,-84,168,21.9
Found,0-9kg,QUE 97962,LL5,1997,-84,168,10
Found,0-9kg,QUE 97961,LL5,1997,-84,168,72.7
Found,0-9kg,QUE 97960,LL5,1997,-84,168,17.6
Found,0-9kg,QUE 97959,LL5,1997,-84,168,34.8
Found,0-9kg,QUE 97958,CM2,1997,-84,168,1.8
Found,0-9kg,QUE 97957,H5,1997,-84,168,3.5
Found,0-9kg,QUE 97956,H5,1997,-84,168,8.5
Found,0-9kg,QUE 97955,LL5,1997,-84,168,8.8
Found,0-9kg,QUE 97954,LL5,1997,-84,168,12.9
Found,0-9kg,QUE 97953,LL5,1997,-84,168,1.7
Found,0-9kg,QUE 97952,LL5,1997,-84,168,42
Found,0-9kg,QUE 97951,LL5,1997,-84,168,2.7
Found,0-9kg,QUE 97950,LL6,1997,-84,168,7.8
Found,0-9kg,QUE 97949,LL5,1997,-84,168,5
Found,0-9kg,QUE 97948,H5,1997,-84,168,3.4
Found,0-9kg,QUE 97947,L5,1997,-84,168,51.6
Found,0-9kg,QUE 97946,LL5,1997,-84,168,6.5
Found,0-9kg,QUE 97945,LL5,1997,-84,168,51.1
Found,0-9kg,QUE 97944,LL5,1997,-84,168,14.5
Found,0-9kg,QUE 97943,LL5,1997,-84,168,21
Found,0-9kg,QUE 97942,LL6,1997,-84,168,52.9
Found,0-9kg,QUE 97941,LL5,1997,-84,168,43.6
Found,0-9kg,QUE 97940,L5,1997,-84,168,58.4
Found,0-9kg,QUE 97939,LL5,1997,-84,168,5.3
Found,0-9kg,QUE 97938,LL5,1997,-84,168,18.9
Found,0-9kg,QUE 97937,LL5,1997,-84,168,11
Found,0-9kg,QUE 97936,LL5,1997,-84,168,2.1
Found,0-9kg,QUE 97935,LL5,1997,-84,168,3.6
Found,0-9kg,QUE 97934,L5,1997,-84,168,1.8
Found,0-9kg,QUE 97933,LL5,1997,-84,168,6.7
Found,0-9kg,QUE 97932,LL5,1997,-84,168,9.6
Found,0-9kg,QUE 97931,LL5,1997,-84,168,3.8
Found,0-9kg,QUE 97930,LL5,1997,-84,168,3.8
Found,0-9kg,QUE 97929,LL5,1997,-84,168,14.8
Found,0-9kg,QUE 97928,LL5,1997,-84,168,1.4
Found,0-9kg,QUE 97927,LL5,1997,-84,168,8.3
Found,0-9kg,QUE 97926,LL5,1997,-84,168,6.9
Found,0-9kg,QUE 97925,LL5,1997,-84,168,5.7
Found,0-9kg,QUE 97924,H6,1997,-84,168,2.4
Found,0-9kg,QUE 97923,LL5,1997,-84,168,13.7
Found,0-9kg,QUE 97922,LL5,1997,-84,168,2.3
Found,0-9kg,QUE 97921,LL5,1997,-84,168,6
Found,0-9kg,QUE 97920,LL5,1997,-84,168,15.9
Found,0-9kg,QUE 97919,LL5,1997,-84,168,36.1
Found,0-9kg,QUE 97918,LL5,1997,-84,168,22.9
Found,0-9kg,QUE 97917,L5,1997,-84,168,128.1
Found,0-9kg,QUE 97916,LL5,1997,-84,168,18
Found,0-9kg,QUE 97915,L6,1997,-84,168,11.5
Found,0-9kg,QUE 97914,LL5,1997,-84,168,15.1
Found,0-9kg,QUE 97913,LL5,1997,-84,168,21
Found,0-9kg,QUE 97912,LL5,1997,-84,168,49.3
Found,0-9kg,QUE 97911,L6,1997,-84,168,28.7
Found,0-9kg,QUE 97910,LL5,1997,-84,168,29.4
Found,0-9kg,QUE 97909,LL5,1997,-84,168,4.8
Found,0-9kg,QUE 97908,LL5,1997,-84,168,1.6
Found,0-9kg,QUE 97907,LL5,1997,-84,168,5.1
Found,0-9kg,QUE 97906,LL5,1997,-84,168,12
Found,0-9kg,QUE 97905,L5,1997,-84,168,15.7
Found,0-9kg,QUE 97904,H6,1997,-84,168,37.4
Found,0-9kg,QUE 97903,LL5,1997,-84,168,31.4
Found,0-9kg,QUE 97902,LL5,1997,-84,168,31.3
Found,0-9kg,QUE 97901,H6,1997,-84,168,10.4
Found,0-9kg,QUE 97900,LL5,1997,-84,168,15.3
Found,0-9kg,QUE 97899,LL5,1997,-84,168,9.2
Found,0-9kg,QUE 97898,LL5,1997,-84,168,2.2
Found,0-9kg,QUE 97897,LL5,1997,-84,168,3.3
Found,0-9kg,QUE 97896,LL5,1997,-84,168,2.1
Found,0-9kg,QUE 97895,LL5,1997,-84,168,18.3
Found,0-9kg,QUE 97894,LL5,1997,-84,168,18.3
Found,0-9kg,QUE 97893,LL5,1997,-84,168,3.9
Found,0-9kg,QUE 97892,L6,1997,-84,168,1.8
Found,0-9kg,QUE 97891,LL5,1997,-84,168,2.9
Found,0-9kg,QUE 97890,LL5,1997,-84,168,3.2
Found,0-9kg,QUE 97889,L5,1997,-84,168,14.5
Found,0-9kg,QUE 97888,LL5,1997,-84,168,14.3
Found,0-9kg,QUE 97887,LL5,1997,-84,168,2.5
Found,0-9kg,QUE 97886,LL6,1997,-84,168,3.9
Found,0-9kg,QUE 97885,LL5,1997,-84,168,2.6
Found,0-9kg,QUE 97884,LL5,1997,-84,168,0.7
Found,0-9kg,QUE 97883,L5,1997,-84,168,4.5
Found,0-9kg,QUE 97882,H6,1997,-84,168,4.5
Found,0-9kg,QUE 97881,LL5,1997,-84,168,5.8
Found,0-9kg,QUE 97880,LL5,1997,-84,168,5.7
Found,0-9kg,QUE 97879,H5,1997,-84,168,27.2
Found,0-9kg,QUE 97878,LL5,1997,-84,168,31.9
Found,0-9kg,QUE 97877,LL5,1997,-84,168,13
Found,0-9kg,QUE 97876,H6,1997,-84,168,21.5
Found,0-9kg,QUE 97875,LL5,1997,-84,168,26.6
Found,0-9kg,QUE 97874,LL5,1997,-84,168,47.5
Found,0-9kg,QUE 97873,LL5,1997,-84,168,22.8
Found,0-9kg,QUE 97872,LL5,1997,-84,168,99.9
Found,0-9kg,QUE 97871,LL5,1997,-84,168,40
Found,0-9kg,QUE 97870,H6,1997,-84,168,98.1
Found,0-9kg,QUE 97869,LL5,1997,-84,168,2.8
Found,0-9kg,QUE 97868,LL5,1997,-84,168,4.7
Found,0-9kg,QUE 97867,LL6,1997,-84,168,18.4
Found,0-9kg,QUE 97866,LL5,1997,-84,168,3.4
Found,0-9kg,QUE 97865,H6,1997,-84,168,4.1
Found,0-9kg,QUE 97864,LL5,1997,-84,168,20.5
Found,0-9kg,QUE 97863,LL5,1997,-84,168,20.5
Found,0-9kg,QUE 97862,L6,1997,-84,168,19.6
Found,0-9kg,QUE 97861,LL5,1997,-84,168,3.4
Found,0-9kg,QUE 97860,LL5,1997,-84,168,27.4
Found,0-9kg,QUE 97859,LL5,1997,-84,168,1.8
Found,0-9kg,QUE 97858,LL5,1997,-84,168,13.6
Found,0-9kg,QUE 97857,LL6,1997,-84,168,8.5
Found,0-9kg,QUE 97856,LL5,1997,-84,168,15.3
Found,0-9kg,QUE 97855,LL5,1997,-84,168,44.3
Found,0-9kg,QUE 97854,H6,1997,-84,168,8.7
